"f:0","f:1",":0",":1",":2"
0.9999999999999998,0.24999999999999997,1.0,0,0
0.980166823039554,0.25,0.9801668230395538,0,0
0.9606607333493592,0.25000000000000006,0.9606607333493586,0,0
0.941600080113656,0.25000000000000006,0.9416000801136555,0,0
0.9228743519526511,0.25000000000000006,0.922874351952651,0,0
0.9042408170745972,0.25000000000000006,0.9042408170745975,0,0
0.8854261880583082,0.25,0.8854261880583083,0,0
0.8662195908051057,0.24999999999999994,0.8662195908051051,0,0
0.8465786060015871,0.25000000000000006,0.8465786060015866,0,0
0.8267034971897802,0.24999999999999994,0.8267034971897799,0,0
0.8069505794200265,0.24999999999999992,0.8069505794200263,0,0
0.7875924927939572,0.24999999999999992,0.7875924927939573,0,0
0.7686646258365393,0.25,0.7686646258365393,0,0
0.750000000624886,0.2500000000000001,0.7500000006248856,0,0
0.7313353754428179,0.2500000000000001,0.7313353754428176,0,0
0.7124075085155394,0.2499999999999999,0.7124075085155395,0,0
0.6930494219834116,0.25,0.6930494219834117,0,0
0.6732965042312523,0.24999999999999994,0.6732965042312522,0,0
0.6534213954170095,0.24999999999999994,0.6534213954170096,0,0
0.6337804105772695,0.24999999999999997,0.6337804105772695,0,0
0.6145738133118694,0.2499999999999999,0.6145738133118693,0,0
0.5957591842547643,0.24999999999999992,0.5957591842547643,0,0
0.5771256493879257,0.25,0.5771256493879255,0,0
0.5583999212262512,0.25000000000000006,0.5583999212262512,0,0
0.5393392680234399,0.25000000000000006,0.5393392680234398,0,0
0.5198331783680624,0.25,0.5198331783680623,0,0
0.5000000014438635,0.25000000000000006,0.5000000014438634,0,0
0.4801668244029418,0.2500000000000001,0.4801668244029419,0,0
0.46066073456798645,0.25,0.4606607345679865,0,0
0.44160008119747646,0.24999999999999994,0.4416000811974764,0,0
0.4228743529119793,0.24999999999999997,0.4228743529119792,0,0
0.4042408179457538,0.25000000000000006,0.4042408179457537,0,0
0.3854261888196498,0.25,0.3854261888196495,0,0
0.3662195914813678,0.25,0.3662195914813676,0,0
0.34657860657807005,0.25000000000000006,0.3465786065780698,0,0
0.3267034976637464,0.2500000000000001,0.3267034976637463,0,0
0.3069505797865655,0.25000000000000006,0.3069505797865654,0,0
0.2875924930396361,0.24999999999999994,0.287592493039636,0,0
0.2686646259811488,0.25,0.2686646259811488,0,0
0.2500000006763948,0.25,0.2500000006763947,0,0
0.23133537538445684,0.25,0.2313353753844569,0,0
0.21240750834156333,0.24999999999999997,0.2124075083415633,0,0
0.19304942162217187,0.24999999999999992,0.1930494216221718,0,0
0.1732965037666751,0.2499999999999999,0.1732965037666751,0,0
0.15342139484816467,0.24999999999999986,0.1534213948481647,0,0
0.1337804099185941,0.24999999999999994,0.1337804099185941,0,0
0.1145738125478943,0.24999999999999997,0.1145738125478943,0,0
0.09575918340417744,0.25000000000000006,0.09575918340417744,0,0
0.07712564843458453,0.24999999999999994,0.07712564843458453,0,0
0.05839992016843355,0.25,0.05839992016843357,0,0
0.039339266840232354,0.25,0.03933926684023236,0,0
0.019833177061591954,0.24999999999999992,0.01983317706159195,0,0
-7.321350868285043e-19,0.24999999999999994,0.0,0,0
